"cervid" "diseased"
"120" "whitetail" "yes"
"121" "whitetail" "yes"
"122" "whitetail" "yes"
"123" "whitetail" "yes"
"124" "whitetail" "yes"
"125" "whitetail" "yes"
"126" "whitetail" "yes"
"127" "whitetail" "yes"
"128" "whitetail" "yes"
"129" "whitetail" "yes"
"130" "whitetail" "yes"
"131" "whitetail" "yes"
"132" "whitetail" "yes"
"133" "whitetail" "yes"
"134" "whitetail" "yes"
"135" "whitetail" "yes"
"136" "whitetail" "yes"
"137" "mule" "yes"
"138" "mule" "yes"
"139" "mule" "yes"
"140" "mule" "yes"
"141" "mule" "yes"
"142" "mule" "yes"
"143" "mule" "yes"
"144" "mule" "yes"
"145" "mule" "yes"
"146" "mule" "yes"
"147" "mule" "yes"
"148" "mule" "yes"
"149" "mule" "yes"
"150" "mule" "yes"
"151" "mule" "yes"
"152" "mule" "yes"
"153" "mule" "yes"
"154" "mule" "yes"
"155" "mule" "yes"
"156" "mule" "yes"
"157" "mule" "yes"
"158" "mule" "yes"
"159" "mule" "yes"
"160" "mule" "yes"
"161" "mule" "yes"
"162" "mule" "yes"
"163" "mule" "yes"
"164" "mule" "yes"
"165" "mule" "yes"
"166" "mule" "yes"
"167" "mule" "yes"
"168" "mule" "yes"
"169" "mule" "yes"
"170" "mule" "yes"
"171" "mule" "yes"
"172" "mule" "yes"
"173" "mule" "yes"
"174" "mule" "yes"
"175" "mule" "yes"
"176" "elk" "yes"
"177" "elk" "yes"
"178" "elk" "yes"
"179" "elk" "yes"
"180" "elk" "yes"
"181" "elk" "yes"
"182" "elk" "yes"
"183" "elk" "yes"
"184" "elk" "yes"
"185" "elk" "yes"
"186" "elk" "yes"
"187" "elk" "yes"
"188" "elk" "yes"
"189" "elk" "yes"
"190" "elk" "yes"
"191" "elk" "yes"
"192" "elk" "yes"
"193" "elk" "yes"
"194" "elk" "yes"
"195" "elk" "yes"
"196" "elk" "yes"
"197" "elk" "yes"
"198" "elk" "yes"
"199" "elk" "yes"
"200" "elk" "yes"
"201" "elk" "yes"
"202" "elk" "yes"
"203" "elk" "yes"
"204" "elk" "yes"
"205" "elk" "yes"
"206" "elk" "yes"
"207" "elk" "yes"
"208" "elk" "yes"
"209" "elk" "yes"
"210" "elk" "yes"
"211" "elk" "yes"
"212" "elk" "yes"
"213" "elk" "yes"
"214" "elk" "yes"
"215" "elk" "yes"
"216" "elk" "yes"
"217" "elk" "yes"
"218" "elk" "yes"
"219" "elk" "yes"
"220" "elk" "yes"
"221" "elk" "yes"
"222" "elk" "yes"
"223" "elk" "yes"
"224" "elk" "yes"
"225" "elk" "yes"
"226" "elk" "yes"
"227" "elk" "yes"
"228" "elk" "yes"
"229" "elk" "yes"
"230" "elk" "yes"
"231" "elk" "yes"
"232" "elk" "yes"
"233" "elk" "yes"
"234" "elk" "yes"
"235" "elk" "yes"
"236" "elk" "yes"
"237" "elk" "yes"
"238" "elk" "yes"
"239" "elk" "yes"
"240" "elk" "yes"
"241" "elk" "yes"
"242" "elk" "yes"
"243" "whitetail" "no"
"244" "whitetail" "no"
"245" "whitetail" "no"
"246" "whitetail" "no"
"247" "whitetail" "no"
"248" "whitetail" "no"
"249" "whitetail" "no"
"250" "whitetail" "no"
"251" "whitetail" "no"
"252" "whitetail" "no"
"253" "whitetail" "no"
"254" "whitetail" "no"
"255" "whitetail" "no"
"256" "whitetail" "no"
"257" "whitetail" "no"
"258" "whitetail" "no"
"259" "whitetail" "no"
"260" "whitetail" "no"
"261" "whitetail" "no"
"262" "whitetail" "no"
"263" "whitetail" "no"
"264" "whitetail" "no"
"265" "whitetail" "no"
"266" "whitetail" "no"
"267" "whitetail" "no"
"268" "whitetail" "no"
"269" "whitetail" "no"
"270" "whitetail" "no"
"271" "whitetail" "no"
"272" "whitetail" "no"
"273" "whitetail" "no"
"274" "whitetail" "no"
"275" "whitetail" "no"
"276" "whitetail" "no"
"277" "whitetail" "no"
"278" "whitetail" "no"
"279" "whitetail" "no"
"280" "whitetail" "no"
"281" "whitetail" "no"
"282" "whitetail" "no"
"283" "whitetail" "no"
"284" "whitetail" "no"
"285" "whitetail" "no"
"286" "whitetail" "no"
"287" "whitetail" "no"
"288" "whitetail" "no"
"289" "whitetail" "no"
"290" "whitetail" "no"
"291" "whitetail" "no"
"292" "whitetail" "no"
"293" "whitetail" "no"
"294" "whitetail" "no"
"295" "whitetail" "no"
"296" "whitetail" "no"
"297" "whitetail" "no"
"298" "whitetail" "no"
"299" "whitetail" "no"
"300" "whitetail" "no"
"301" "whitetail" "no"
"302" "whitetail" "no"
"303" "whitetail" "no"
"304" "whitetail" "no"
"305" "whitetail" "no"
"306" "whitetail" "no"
"307" "whitetail" "no"
"308" "whitetail" "no"
"309" "whitetail" "no"
"310" "whitetail" "no"
"311" "whitetail" "no"
"312" "whitetail" "no"
"313" "whitetail" "no"
"314" "whitetail" "no"
"315" "whitetail" "no"
"316" "whitetail" "no"
"317" "whitetail" "no"
"318" "whitetail" "no"
"319" "whitetail" "no"
"320" "whitetail" "no"
"321" "whitetail" "no"
"322" "whitetail" "no"
"323" "whitetail" "no"
"324" "whitetail" "no"
"325" "whitetail" "no"
"326" "whitetail" "no"
"327" "whitetail" "no"
"328" "whitetail" "no"
"329" "whitetail" "no"
"330" "whitetail" "no"
"331" "whitetail" "no"
"332" "whitetail" "no"
"333" "whitetail" "no"
"334" "whitetail" "no"
"335" "whitetail" "no"
"336" "whitetail" "no"
"337" "whitetail" "no"
"338" "whitetail" "no"
"339" "whitetail" "no"
"340" "whitetail" "no"
"341" "whitetail" "no"
"342" "whitetail" "no"
"343" "whitetail" "no"
"344" "whitetail" "no"
"345" "whitetail" "no"
"346" "whitetail" "no"
"347" "whitetail" "no"
"348" "whitetail" "no"
"349" "whitetail" "no"
"350" "whitetail" "no"
"351" "whitetail" "no"
"352" "whitetail" "no"
"353" "whitetail" "no"
"354" "whitetail" "no"
"355" "whitetail" "no"
"356" "whitetail" "no"
"357" "whitetail" "no"
"358" "whitetail" "no"
"359" "whitetail" "no"
"360" "whitetail" "no"
"361" "whitetail" "no"
"362" "whitetail" "no"
"363" "whitetail" "no"
"364" "whitetail" "no"
"365" "whitetail" "no"
"366" "whitetail" "no"
"367" "whitetail" "no"
"368" "whitetail" "no"
"369" "whitetail" "no"
"370" "whitetail" "no"
"371" "whitetail" "no"
"372" "whitetail" "no"
"373" "whitetail" "no"
"374" "whitetail" "no"
"375" "whitetail" "no"
"376" "whitetail" "no"
"377" "whitetail" "no"
"378" "whitetail" "no"
"379" "whitetail" "no"
"380" "whitetail" "no"
"381" "whitetail" "no"
"382" "whitetail" "no"
"383" "whitetail" "no"
"384" "whitetail" "no"
"385" "whitetail" "no"
"386" "whitetail" "no"
"387" "whitetail" "no"
"388" "whitetail" "no"
"389" "whitetail" "no"
"390" "whitetail" "no"
"391" "whitetail" "no"
"392" "whitetail" "no"
"393" "whitetail" "no"
"394" "whitetail" "no"
"395" "whitetail" "no"
"396" "whitetail" "no"
"397" "whitetail" "no"
"398" "whitetail" "no"
"399" "whitetail" "no"
"400" "whitetail" "no"
"401" "whitetail" "no"
"402" "whitetail" "no"
"403" "whitetail" "no"
"404" "whitetail" "no"
"405" "whitetail" "no"
"406" "whitetail" "no"
"407" "whitetail" "no"
"408" "whitetail" "no"
"409" "whitetail" "no"
"410" "whitetail" "no"
"411" "whitetail" "no"
"412" "whitetail" "no"
"413" "whitetail" "no"
"414" "whitetail" "no"
"415" "whitetail" "no"
"416" "whitetail" "no"
"417" "whitetail" "no"
"418" "whitetail" "no"
"419" "whitetail" "no"
"420" "whitetail" "no"
"421" "whitetail" "no"
"422" "whitetail" "no"
"423" "whitetail" "no"
"424" "whitetail" "no"
"425" "whitetail" "no"
"426" "whitetail" "no"
"427" "whitetail" "no"
"428" "whitetail" "no"
"429" "whitetail" "no"
"430" "whitetail" "no"
"431" "whitetail" "no"
"432" "whitetail" "no"
"433" "whitetail" "no"
"434" "whitetail" "no"
"435" "whitetail" "no"
"436" "whitetail" "no"
"437" "whitetail" "no"
"438" "whitetail" "no"
"439" "whitetail" "no"
"440" "whitetail" "no"
"441" "whitetail" "no"
"442" "whitetail" "no"
"443" "whitetail" "no"
"444" "whitetail" "no"
"445" "whitetail" "no"
"446" "whitetail" "no"
"447" "whitetail" "no"
"448" "whitetail" "no"
"449" "whitetail" "no"
"450" "whitetail" "no"
"451" "whitetail" "no"
"452" "whitetail" "no"
"453" "whitetail" "no"
"454" "whitetail" "no"
"455" "whitetail" "no"
"456" "whitetail" "no"
"457" "whitetail" "no"
"458" "whitetail" "no"
"459" "whitetail" "no"
"460" "whitetail" "no"
"461" "whitetail" "no"
"462" "whitetail" "no"
"463" "whitetail" "no"
"464" "whitetail" "no"
"465" "whitetail" "no"
"466" "whitetail" "no"
"467" "whitetail" "no"
"468" "whitetail" "no"
"469" "whitetail" "no"
"470" "mule" "no"
"471" "mule" "no"
"472" "mule" "no"
"473" "mule" "no"
"474" "mule" "no"
"475" "mule" "no"
"476" "mule" "no"
"477" "mule" "no"
"478" "mule" "no"
"479" "mule" "no"
"480" "mule" "no"
"481" "mule" "no"
"482" "mule" "no"
"483" "mule" "no"
"484" "mule" "no"
"485" "mule" "no"
"486" "mule" "no"
"487" "mule" "no"
"488" "mule" "no"
"489" "mule" "no"
"490" "mule" "no"
"491" "mule" "no"
"492" "mule" "no"
"493" "mule" "no"
"494" "mule" "no"
"495" "mule" "no"
"496" "mule" "no"
"497" "mule" "no"
"498" "mule" "no"
"499" "mule" "no"
"500" "mule" "no"
"501" "mule" "no"
"502" "mule" "no"
"503" "mule" "no"
"504" "mule" "no"
"505" "mule" "no"
"506" "mule" "no"
"507" "mule" "no"
"508" "mule" "no"
"509" "mule" "no"
"510" "mule" "no"
"511" "mule" "no"
"512" "mule" "no"
"513" "mule" "no"
"514" "mule" "no"
"515" "mule" "no"
"516" "mule" "no"
"517" "mule" "no"
"518" "mule" "no"
"519" "mule" "no"
"520" "mule" "no"
"521" "mule" "no"
"522" "mule" "no"
"523" "mule" "no"
"524" "mule" "no"
"525" "mule" "no"
"526" "mule" "no"
"527" "mule" "no"
"528" "mule" "no"
"529" "mule" "no"
"530" "mule" "no"
"531" "mule" "no"
"532" "mule" "no"
"533" "mule" "no"
"534" "mule" "no"
"535" "mule" "no"
"536" "mule" "no"
"537" "mule" "no"
"538" "mule" "no"
"539" "mule" "no"
"540" "mule" "no"
"541" "mule" "no"
"542" "mule" "no"
"543" "mule" "no"
"544" "elk" "no"
"545" "elk" "no"
"546" "elk" "no"
"547" "elk" "no"
"548" "elk" "no"
"549" "elk" "no"
"550" "elk" "no"
"551" "elk" "no"
"552" "elk" "no"
"553" "elk" "no"
"554" "elk" "no"
"555" "elk" "no"
"556" "elk" "no"
"557" "elk" "no"
"558" "elk" "no"
"559" "elk" "no"
"560" "elk" "no"
"561" "elk" "no"
"562" "elk" "no"
"563" "elk" "no"
"564" "elk" "no"
"565" "elk" "no"
"566" "elk" "no"
"567" "elk" "no"
"568" "elk" "no"
"569" "elk" "no"
"570" "elk" "no"
"571" "elk" "no"
"572" "elk" "no"
"573" "elk" "no"
"574" "elk" "no"
"575" "elk" "no"
"576" "elk" "no"
"577" "elk" "no"
"578" "elk" "no"
"579" "elk" "no"
"580" "elk" "no"
"581" "elk" "no"
"582" "elk" "no"
"583" "elk" "no"
"584" "elk" "no"
"585" "elk" "no"
