State,Coal,NatGas,AsphRoadOil,AviatGas,DistFuel,JetFuel,Kerosene,LPG,Lubricants,MotorGas,ResidFuel,OtherPet,TotalPet,NukeElect,HydroElect,WoodWaste,Other,NetInterState,Total
North_Dakota,419.8,62.6,8.8,0.4,51.7,4.3,0,19.6,1,44.2,0.4,7.6,138,0,13.6,2.1,2.2,-231.4,406.9
Ohio,1343,835.7,78.4,0.7,288.1,105.3,4.5,35.3,22.2,632.8,6.5,131.3,1305.2,161.6,5.2,43.4,0.9,287.3,3982.3
Oklahoma,376.8,548.4,29.2,0.4,205.6,39.9,0.3,19.2,7.9,224.2,2.2,59.7,588.4,0,22.5,17.2,0.1,-13.9,1539.5
Oregon,43.4,235.5,14.5,1.1,101.4,29.6,1.7,3.6,4.4,188.4,8.6,14.9,368.2,0,291.4,41.4,2.9,81.4,1064.3
Pennsylvania,1378.5,669.1,57.7,0.6,404.5,107,20.8,23.8,23.6,627.6,61.1,127.7,1454.4,770.3,10.5,95.3,1.1,-456.6,3922.5
Rhode_Island,0.1,98.6,1.3,0.1,33.5,7.4,0.9,1.6,0.8,50.1,4,0.2,99.8,0,0,3.7,1.4,23.7,227.3
South_Carolina,414.4,147.2,16.7,0.4,112.9,10.5,3.8,12.9,3.1,280.4,13.7,15.1,469.5,521,1.9,62.8,0.2,-68.2,1548.8
South_Dakota,44.3,37,7,0.2,36.8,5.5,0,7.5,0.9,53.2,0.7,0.1,111.9,0,34.9,1.7,0.5,17.8,248
Tennessee,688,265.4,38.2,0.3,166.5,71.2,2.5,16.2,7.2,356.3,0.9,48.9,708.2,298.6,63.2,72.1,0.1,99.8,2195.4
Texas,1493.4,4434.6,77.8,2.4,695.5,639.8,3.4,1413.1,31,1336.6,108.4,1213.1,5521,398.7,12.2,74.5,13.3,81.1,12028.8
Utah,389.6,168.1,9.6,0.4,65.4,39,0.1,7.2,1.7,119.8,0.1,18,261.4,0,5.2,5,3.8,-107.7,725.4
Vermont,0.1,8,2,0.2,31.3,0.7,2.3,8.8,0.4,41.8,1.5,0,88.9,43.6,9,8.7,9.2,-3.8,163.6
Virginia,482.4,246.7,28.2,0.8,228.9,56.6,11.2,17.4,5.5,473,57.2,32.3,911.2,269.1,-12.5,93.2,0.6,323.9,2314.6
Washington,99.5,323.1,22.7,0.7,140.5,123.7,0.8,25.6,4.1,330.8,40.3,153.1,842.5,86.2,556.9,80,-16.6,62.3,2033.9
West_Virginia,872.3,152.2,4.8,0.2,73.1,1.1,2.4,5,3.9,102.7,1.4,20.3,215,0,9.7,5.6,0,-493.1,761.7
Wisconsin,494.7,363,39.6,1.2,184.6,14.7,0.6,36.5,5.9,306.7,5.8,72.8,668.4,120.2,20.9,93.4,1.1,101.5,1863.4
Wyoming,500.2,104,7.3,1.1,81.7,1.9,0,4.5,1.2,42.2,0.4,16.7,157,0,8.9,1,4.4,-336.4,439.1
