# lake: lake that respondent lives on
# year: year that respondent bought their property
# prmryRes: whether or not the property is the respondent's primary residence
# sumDays: number of summer days the respondent (or their family) spends at the residence
# sumGuest: number of summer days that a guest spends at the residence
# sumRent: number of summer days that the residence is rented
# fishing: approx. days (as a category) that respondent spends fishing
# boating: approx. days (as a category) that respondent spends boating
# waterSki: approx. days (as a category) that respondent spends water skiing
# smallBoats: approx. days (as a category) that respondent spends in a canoe, kayak, or rowboat
# sail: approx. days (as a category) that respondent spends sailboating
# jetSki: approx. days (as a category) that respondent spends jet skiing
# swim: approx. days (as a category) that respondent spends swimming
# gender: the respondent's gender (male or female)
# age: the respondent's age
# sizeHousehold: number of members in the respondent's household
# children: number of children under age-18 in the household
# educat: categorical level of education (ltHS=no high school diploma, HS= highschool diploma, someColl=some College, College= BA, BS, or AA degree, GradProf=graduate or professional degree
# inc: income category
# value: respondent's belief as to the current value of their property
#
# this is only a portion of the actualy survey which can be found at http://lter.limnology.wisc.edu/sites/default/files/ntl/pdf/nwlr_survey.pdf
#
# Note that the levels for the fishing, boating, waterSki, smallBoats, sail, jetSki, and swim variables should be controlled.
#   For example, using the fish variable (and assuming the data frame is called df)
#
# df$fish <- factor(df$fish,levels=c("0_days","1_6_days","7_14_days","15_30_days","30_60_days","60+_days"))
#
lake	year	prmryRes	sumDays	sumGuest	sumRent	fishing	boating	waterSki	smallBoats	sail	jetSki	swim	gender	age	sizeHousehold	children	educat	inc	value
Alder_Lake	1995	Yes	8	8	8	7_14_days	7_14_days	1_6_days	1_6_days	0_days	0_days	1_6_days	Male	56	4	0	College	20	750000
Alder_Lake	1968	No	14	0	0	7_14_days	7_14_days	7_14_days	0_days	0_days	0_days	7_14_days	Male	42	4	2	College	90	250000
Alder_Lake	1983	No	32	0	0	30_60_days	30_60_days	30_60_days	1_6_days	0_days	1_6_days	15_30_days	Male	58	3	1	College	130	185000
Alder_Lake	1990	No	14	14	0	7_14_days	7_14_days	7_14_days	1_6_days	1_6_days	7_14_days	7_14_days	NA	50	5	2	GradProf	80	700000
Alder_Lake	1994	No	25	0	0	1_6_days	7_14_days	1_6_days	7_14_days	0_days	0_days	15_30_days	Male	54	4	0	College	130	220000
Alder_Lake	1989	No	40	0	0	NA	7_14_days	NA	NA	NA	NA	1_6_days	Female	64	2	0	College	NA	NA
Alder_Lake	1990	Yes	8	8	8	30_60_days	7_14_days	1_6_days	1_6_days	0_days	0_days	7_14_days	Male	46	1	0	GradProf	70	800000
Alder_Lake	1997	Yes	8	8	8	0_days	15_30_days	1_6_days	15_30_days	1_6_days	0_days	15_30_days	Female	64	2	0	College	30	400000
Alder_Lake	1999	No	35	17	0	15_30_days	7_14_days	7_14_days	0_days	NA	7_14_days	7_14_days	Male	46	3	1	ltHS	110	NA
Aldridge_Lake	1995	No	50	14	0	30_60_days	30_60_days	0_days	1_6_days	0_days	0_days	30_60_days	Male	49	4	2	College	90	250000
Alma_Lake	1999	No	60	0	0	30_60_days	30_60_days	0_days	30_60_days	0_days	0_days	7_14_days	Male	50	4	0	someColl	70	160000
Alma_Lake	1974	Yes	8	8	8	0_days	0_days	0_days	30_60_days	0_days	0_days	15_30_days	Male	72	2	0	GradProf	50	700000
Alma_Lake	1990	Yes	8	8	8	15_30_days	30_60_days	15_30_days	1_6_days	1_6_days	0_days	60+_days	Male	72	0	0	GradProf	50	250000
Alma_Lake	2005	No	30	6	0	7_14_days	15_30_days	0_days	0_days	0_days	0_days	15_30_days	Male	61	0	0	College	90	250000
Alma_Lake	1970	No	150	0	0	1_6_days	60+_days	NA	30_60_days	NA	NA	60+_days	Female	79	0	0	College	50	226000
Alma_Lake	1990	No	48	0	0	1_6_days	7_14_days	0_days	30_60_days	0_days	0_days	30_60_days	NA	70	2	0	GradProf	110	200000
Alma_Lake	1998	No	30	0	0	15_30_days	15_30_days	15_30_days	15_30_days	NA	0_days	7_14_days	Male	46	5	0	GradProf	NA	325000
Alma_Lake	2002	No	45	0	0	30_60_days	1_6_days	0_days	0_days	0_days	0_days	7_14_days	Male	62	2	0	GradProf	70	325000
Amik_Lake	2002	No	20	5	0	15_30_days	15_30_days	15_30_days	15_30_days	0_days	0_days	15_30_days	Male	37	4	2	College	100	750000
Amik_Lake	1992	No	40	7	0	30_60_days	30_60_days	1_6_days	0_days	0_days	0_days	7_14_days	Male	52	6	0	College	110	250000
Amik_Lake	1990	Yes	8	8	8	7_14_days	15_30_days	0_days	1_6_days	0_days	0_days	0_days	Male	67	2	0	GradProf	50	275000
Amik_Lake	1999	No	30	0	0	7_14_days	30_60_days	0_days	0_days	0_days	0_days	7_14_days	Male	45	4	1	GradProf	110	200000
Anderson_Lake	1996	Yes	8	8	8	1_6_days	7_14_days	0_days	7_14_days	0_days	0_days	0_days	Female	57	1	0	GradProf	NA	385000
Annabelle_Lake	1998	No	20	3	0	7_14_days	7_14_days	0_days	1_6_days	0_days	0_days	7_14_days	Female	45	4	2	College	70	320000
Annabelle_Lake	1970	No	30	0	0	NA	15_30_days	NA	NA	NA	NA	NA	Male	75	1	0	someColl	50	180000
Annabelle_Lake	1983	No	16	0	0	1_6_days	1_6_days	0_days	0_days	0_days	0_days	7_14_days	Male	43	7	3	HS	30	200000
Annabelle_Lake	1971	No	15	35	0	15_30_days	15_30_days	0_days	0_days	0_days	0_days	7_14_days	Male	80	3	0	GradProf	70	200000
Annabelle_Lake	1955	No	10	3	0	7_14_days	0_days	0_days	0_days	0_days	0_days	0_days	Male	76	2	0	College	50	100000
Anvil_Lake	1999	Yes	8	8	8	15_30_days	30_60_days	1_6_days	NA	NA	NA	30_60_days	Male	65	2	0	HS	NA	310000
Anvil_Lake	1965	Yes	8	8	8	7_14_days	15_30_days	0_days	0_days	0_days	7_14_days	15_30_days	Male	63	NA	0	HS	NA	200000
Anvil_Lake	1990	Yes	8	8	8	1_6_days	60+_days	30_60_days	15_30_days	7_14_days	0_days	30_60_days	Female	49	6	0	someColl	50	1900000
Anvil_Lake	2001	No	40	10	0	15_30_days	15_30_days	1_6_days	7_14_days	0_days	0_days	30_60_days	Male	56	2	0	someColl	90	200000
Anvil_Lake	1988	No	90	5	0	7_14_days	15_30_days	15_30_days	NA	1_6_days	7_14_days	30_60_days	Male	72	2	0	College	NA	100000
Anvil_Lake	1989	No	125	0	0	7_14_days	30_60_days	1_6_days	0_days	7_14_days	1_6_days	60+_days	Female	69	0	0	College	90	220000
Anvil_Lake	1980	No	150	5	0	1_6_days	30_60_days	7_14_days	15_30_days	0_days	0_days	7_14_days	Male	64	2	0	GradProf	90	450000
Anvil_Lake	2000	No	24	10	0	15_30_days	15_30_days	7_14_days	0_days	0_days	7_14_days	7_14_days	Male	48	4	1	College	110	220000
Anvil_Lake	1992	No	10	5	0	0_days	1_6_days	0_days	1_6_days	0_days	0_days	1_6_days	Male	67	2	0	GradProf	50	200000
Anvil_Lake	1988	No	15	5	0	7_14_days	15_30_days	7_14_days	7_14_days	0_days	0_days	15_30_days	NA	NA	NA	NA	NA	NA	NA
Anvil_Lake	1986	No	30	3	0	15_30_days	15_30_days	1_6_days	1_6_days	0_days	0_days	15_30_days	Female	54	2	0	GradProf	70	300000
Anvil_Lake	1982	No	20	0	0	7_14_days	1_6_days	0_days	1_6_days	0_days	0_days	7_14_days	Female	46	3	1	College	50	350000
Anvil_Lake	1996	No	20	0	0	0_days	15_30_days	1_6_days	1_6_days	0_days	0_days	1_6_days	Male	56	2	0	GradProf	NA	400000
Anvil_Lake	2000	No	21	0	0	15_30_days	15_30_days	1_6_days	NA	NA	1_6_days	7_14_days	Female	53	4	2	College	110	200000
Anvil_Lake	1978	No	52	14	0	7_14_days	1_6_days	0_days	30_60_days	0_days	0_days	30_60_days	Female	57	2	0	GradProf	70	175000
Anvil_Lake	2003	No	20	100	0	15_30_days	7_14_days	0_days	0_days	0_days	0_days	15_30_days	Male	45	4	2	College	90	225000
Anvil_Lake	1990	No	30	3	0	7_14_days	15_30_days	15_30_days	7_14_days	NA	NA	7_14_days	Male	49	3	2	someColl	50	255000
Armour_Lake	1992	Yes	8	8	8	60+_days	60+_days	NA	7_14_days	NA	NA	60+_days	Male	68	2	0	HS	50	300000
Armour_Lake	1962	No	100	0	0	30_60_days	7_14_days	1_6_days	15_30_days	NA	7_14_days	15_30_days	Male	74	1	0	someColl	50	250000
Armour_Lake	2000	No	35	20	0	30_60_days	15_30_days	0_days	7_14_days	0_days	0_days	15_30_days	Male	62	2	0	GradProf	90	225000
Armour_Lake	1981	No	45	0	0	0_days	0_days	0_days	7_14_days	15_30_days	0_days	1_6_days	Male	66	2	0	College	50	380000
Armour_Lake	2000	No	30	0	0	15_30_days	15_30_days	0_days	15_30_days	1_6_days	0_days	15_30_days	Male	54	1	0	GradProf	90	180000
Armour_Lake	1982	No	40	0	0	30_60_days	30_60_days	1_6_days	7_14_days	0_days	0_days	1_6_days	NA	61	2	0	someColl	70	350000
Armour_Lake	2001	No	45	0	0	15_30_days	30_60_days	30_60_days	15_30_days	0_days	0_days	30_60_days	Male	42	5	3	College	80	500000
Armour_Lake	1968	No	1	0	0	7_14_days	30_60_days	0_days	15_30_days	0_days	0_days	7_14_days	Male	81	2	0	College	110	350000
Armour_Lake	1976	No	100	0	0	60+_days	60+_days	7_14_days	30_60_days	NA	NA	30_60_days	Female	66	2	0	GradProf	90	190000
Arrowhead_Lake	2001	Yes	8	8	8	1_6_days	30_60_days	0_days	0_days	0_days	0_days	30_60_days	Female	65	2	0	HS	50	190000
Arrowhead_Lake	1989	No	14	42	0	1_6_days	0_days	0_days	0_days	0_days	0_days	15_30_days	Female	46	4	0	GradProf	130	145000
Arrowhead_Lake	1987	Yes	8	8	8	7_14_days	15_30_days	7_14_days	0_days	0_days	0_days	7_14_days	Male	51	4	0	GradProf	50	250000
Arrowhead_Lake	1984	Yes	8	8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arrowhead_Lake	1959	No	84	0	0	7_14_days	0_days	0_days	60+_days	0_days	0_days	60+_days	Female	80	10	1	someColl	NA	150000
Arrowhead_Lake	1963	Yes	8	8	8	1_6_days	7_14_days	0_days	30_60_days	7_14_days	0_days	60+_days	Female	85	1	0	HS	10	450000
Arrowhead_Lake	1982	Yes	8	8	8	15_30_days	1_6_days	0_days	30_60_days	0_days	0_days	15_30_days	Male	60	5	0	GradProf	110	275000
Arrowhead_Lake	2000	No	70	0	0	15_30_days	7_14_days	1_6_days	7_14_days	1_6_days	0_days	7_14_days	Male	54	4	0	GradProf	90	160000
Arrowhead_Lake	1978	No	30	0	0	7_14_days	15_30_days	7_14_days	0_days	0_days	15_30_days	15_30_days	Female	60	2	0	someColl	130	350000
Ballard_Lake	1992	No	10	NA	NA	7_14_days	7_14_days	NA	7_14_days	NA	NA	7_14_days	Male	67	2	0	GradProf	80	750000
Ballard_Lake	2004	No	20	80	0	15_30_days	15_30_days	7_14_days	7_14_days	7_14_days	0_days	7_14_days	Male	48	4	4	College	130	500000
Ballard_Lake	1992	Yes	8	8	8	15_30_days	15_30_days	NA	NA	NA	NA	15_30_days	Male	59	2	0	NA	NA	400000
Ballard_Lake	1994	No	25	0	0	1_6_days	7_14_days	1_6_days	0_days	0_days	0_days	1_6_days	Male	48	2	0	College	20	600000
Ballard_Lake	1968	Yes	8	8	8	60+_days	60+_days	0_days	1_6_days	0_days	0_days	1_6_days	Male	74	2	0	College	60	NA
Ballard_Lake	1993	No	35	0	0	30_60_days	7_14_days	0_days	30_60_days	0_days	0_days	30_60_days	Male	45	3	3	GradProf	100	1500000
Ballard_Lake	1981	No	100	0	0	1_6_days	1_6_days	1_6_days	1_6_days	0_days	0_days	0_days	Male	59	2	0	GradProf	NA	750000
Bass_Lake	2002	No	28	3	0	15_30_days	7_14_days	1_6_days	1_6_days	0_days	0_days	7_14_days	Male	44	2	0	College	40	350000
Bass_Lake	1994	No	0	0	100	7_14_days	15_30_days	15_30_days	1_6_days	0_days	1_6_days	15_30_days	Male	47	4	1	College	20	280000
Bass_Lake	2002	No	22	14	0	7_14_days	15_30_days	15_30_days	1_6_days	0_days	15_30_days	15_30_days	Male	47	5	2	College	110	300000
Bass_Lake	1998	No	21	7	0	7_14_days	15_30_days	7_14_days	30_60_days	7_14_days	0_days	15_30_days	Male	46	4	2	College	130	425000
Bass_Lake	1985	No	50	0	0	30_60_days	30_60_days	30_60_days	15_30_days	0_days	15_30_days	30_60_days	Male	70	3	0	College	50	300000
Bass_Lake	1990	No	40	0	0	15_30_days	30_60_days	30_60_days	30_60_days	7_14_days	0_days	30_60_days	Male	55	4	0	GradProf	90	140000
Bass_Lake	1989	No	100	0	0	0_days	7_14_days	0_days	1_6_days	7_14_days	0_days	7_14_days	Male	77	2	0	College	90	250000
Bass_Lake	2001	No	20	10	0	7_14_days	15_30_days	15_30_days	7_14_days	1_6_days	NA	15_30_days	Male	61	2	0	GradProf	130	250000
Bass_Lake	2002	No	45	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bass_Lake	1999	No	14	0	0	7_14_days	7_14_days	1_6_days	0_days	0_days	0_days	1_6_days	Male	55	4	1	GradProf	90	300000
Big_Arbor_Vitae_Lake	1979	Yes	8	8	8	30_60_days	15_30_days	15_30_days	0_days	0_days	0_days	15_30_days	Female	67	2	0	someColl	30	798000
Big_Arbor_Vitae_Lake	1988	Yes	8	8	8	60+_days	60+_days	0_days	0_days	0_days	0_days	30_60_days	Male	75	2	0	someColl	30	250000
Big_Arbor_Vitae_Lake	1999	Yes	8	8	8	60+_days	7_14_days	1_6_days	1_6_days	1_6_days	0_days	15_30_days	Male	47	2	0	HS	50	700000
Big_Arbor_Vitae_Lake	1994	No	30	5	0	15_30_days	30_60_days	1_6_days	0_days	0_days	0_days	7_14_days	Male	65	5	1	HS	70	210000
Big_Arbor_Vitae_Lake	1991	No	100	0	100	15_30_days	15_30_days	7_14_days	0_days	0_days	1_6_days	15_30_days	Male	45	5	3	College	70	NA
Big_Arbor_Vitae_Lake	1994	No	60	0	0	7_14_days	60+_days	7_14_days	1_6_days	0_days	1_6_days	15_30_days	Male	72	2	0	College	NA	700000
Big_Arbor_Vitae_Lake	1995	Yes	8	8	8	7_14_days	15_30_days	15_30_days	1_6_days	0_days	0_days	30_60_days	Male	51	5	4	GradProf	90	1500000
Big_Arbor_Vitae_Lake	1985	No	30	20	100	15_30_days	15_30_days	1_6_days	1_6_days	0_days	0_days	1_6_days	Male	76	2	0	HS	80	750000
Big_Arbor_Vitae_Lake	1978	No	60	0	0	30_60_days	30_60_days	7_14_days	1_6_days	0_days	0_days	30_60_days	Female	50	1	0	GradProf	60	350000
Big_Arbor_Vitae_Lake	1972	Yes	8	8	8	0_days	0_days	0_days	0_days	0_days	0_days	1_6_days	NA	67	1	0	HS	10	190000
Big_Arbor_Vitae_Lake	1983	Yes	8	8	8	60+_days	7_14_days	NA	NA	NA	NA	30_60_days	Male	51	2	0	HS	30	279000
Big_Arbor_Vitae_Lake	1993	Yes	8	8	8	0_days	0_days	0_days	0_days	0_days	0_days	0_days	Male	72	2	0	someColl	10	220000
Big_Arbor_Vitae_Lake	1985	No	28	0	0	15_30_days	15_30_days	0_days	0_days	0_days	0_days	7_14_days	Male	56	4	2	GradProf	NA	NA
Big_Arbor_Vitae_Lake	2000	No	50	0	0	7_14_days	15_30_days	1_6_days	0_days	0_days	15_30_days	15_30_days	Male	54	4	0	GradProf	100	600000
Big_Arbor_Vitae_Lake	1974	No	7	7	70	1_6_days	1_6_days	0_days	1_6_days	0_days	1_6_days	NA	Male	60	2	0	HS	110	420000
Big_Arbor_Vitae_Lake	1999	No	20	10	0	7_14_days	7_14_days	NA	NA	NA	7_14_days	NA	Male	65	NA	NA	HS	90	40000
Big_Arbor_Vitae_Lake	2000	No	30	0	0	15_30_days	15_30_days	30_60_days	0_days	7_14_days	0_days	7_14_days	Female	49	6	0	College	NA	350000
Big_Arbor_Vitae_Lake	1978	Yes	8	8	8	1_6_days	60+_days	1_6_days	1_6_days	0_days	0_days	7_14_days	Female	58	2	0	College	70	600000
Big_Arbor_Vitae_Lake	2003	Yes	8	8	8	7_14_days	30_60_days	30_60_days	15_30_days	0_days	0_days	30_60_days	Male	49	4	3	GradProf	80	400000
Big_Arbor_Vitae_Lake	1958	Yes	8	8	8	1_6_days	1_6_days	0_days	0_days	0_days	0_days	1_6_days	Male	61	5	NA	GradProf	90	300000
Big_Bass	1992	No	50	7	0	30_60_days	15_30_days	0_days	1_6_days	0_days	0_days	7_14_days	Male	81	2	0	someColl	30	110000
Big_Bass_Lake	1992	No	NA	NA	0	60+_days	60+_days	0_days	1_6_days	0_days	0_days	15_30_days	Male	64	2	0	HS	30	85000
Big_Bass_Lake	1992	Yes	8	8	8	15_30_days	NA	NA	NA	NA	NA	NA	Male	64	2	0	College	70	400000
Big_Bass_Lake	1987	No	45	5	0	7_14_days	15_30_days	0_days	15_30_days	0_days	0_days	30_60_days	Male	72	0	0	College	70	130000
Big_Bass_Lake	1950	No	41	0	0	7_14_days	NA	7_14_days	7_14_days	1_6_days	NA	15_30_days	Female	78	0	0	GradProf	NA	450000
Big_Bass_Lake	2001	No	120	0	0	NA	NA	NA	NA	NA	NA	NA	Male	58	2	0	HS	30	325000
Big_Lake	1997	Yes	8	8	8	0_days	1_6_days	0_days	1_6_days	0_days	0_days	1_6_days	Male	67	2	0	HS	70	750000
Big_Lake	1982	No	40	5	0	15_30_days	30_60_days	7_14_days	7_14_days	0_days	0_days	15_30_days	Male	75	1	0	GradProf	30	100000
Big_Lake	1982	No	125	25	0	15_30_days	15_30_days	0_days	7_14_days	0_days	0_days	1_6_days	Female	78	0	0	someColl	NA	NA
Big_Lake	2001	No	30	5	0	7_14_days	15_30_days	7_14_days	0_days	0_days	0_days	7_14_days	Male	43	4	2	College	90	300000
Big_Lake	1996	Yes	8	8	8	NA	NA	NA	NA	NA	NA	NA	Male	70	2	0	someColl	10	NA
Big_Lake	1975	No	65	10	0	15_30_days	30_60_days	7_14_days	30_60_days	0_days	0_days	15_30_days	Male	61	2	0	College	20	1000000
Big_Lake	1999	No	10	0	0	0_days	7_14_days	0_days	1_6_days	0_days	0_days	1_6_days	NA	NA	NA	NA	NA	NA	NA
Big_Lake	1999	Yes	8	8	8	30_60_days	7_14_days	1_6_days	7_14_days	7_14_days	0_days	15_30_days	Male	54	2	0	GradProf	90	325000
Big_Lake	1995	No	20	0	0	15_30_days	7_14_days	7_14_days	1_6_days	0_days	0_days	1_6_days	Male	48	4	1	someColl	90	400000
Big_Lake	1973	Yes	8	8	8	15_30_days	7_14_days	0_days	0_days	0_days	0_days	1_6_days	Male	83	1	NA	College	NA	NA
Big_Muskellunge_Lake	1995	No	30	10	0	7_14_days	15_30_days	7_14_days	7_14_days	7_14_days	NA	15_30_days	NA	NA	NA	NA	NA	NA	NA
Big_Portage_Lake	2004	No	21	21	0	30_60_days	30_60_days	1_6_days	0_days	0_days	0_days	15_30_days	Male	47	3	0	College	40	850000
Big_Portage_Lake	1995	No	20	2	0	0_days	15_30_days	15_30_days	7_14_days	1_6_days	7_14_days	15_30_days	Male	57	6	1	College	80	675000
Big_Portage_Lake	1986	No	100	0	0	NA	30_60_days	15_30_days	NA	NA	15_30_days	15_30_days	Male	77	2	0	someColl	130	400000
Big_Portage_Lake	1989	Yes	8	8	8	7_14_days	1_6_days	0_days	0_days	0_days	1_6_days	60+_days	Female	46	2	0	College	30	400000
Big_Portage_Lake	1971	No	90	0	0	0_days	0_days	0_days	7_14_days	0_days	0_days	30_60_days	Male	81	3	0	College	90	600000
Big_Portage_Lake	2000	No	21	0	0	7_14_days	7_14_days	0_days	7_14_days	0_days	0_days	7_14_days	Male	48	5	0	GradProf	90	625000
Big_Portage_Lake	1990	NA	NA	NA	NA	30_60_days	15_30_days	0_days	15_30_days	1_6_days	7_14_days	15_30_days	Female	68	8	2	GradProf	70	375000
Big_Portage_Lake	1955	No	120	90	0	15_30_days	7_14_days	7_14_days	15_30_days	7_14_days	NA	30_60_days	Male	78	2	0	someColl	NA	400000
Big_Portage_Lake	1975	No	85	0	0	60+_days	60+_days	0_days	1_6_days	30_60_days	0_days	30_60_days	Male	69	0	0	GradProf	110	500000
Big_Portage_Lake	1985	No	175	0	0	7_14_days	30_60_days	7_14_days	7_14_days	7_14_days	0_days	60+_days	Female	71	2	0	GradProf	90	500000
Big_Portage_Lake	1925	No	60	NA	0	1_6_days	30_60_days	7_14_days	7_14_days	NA	1_6_days	30_60_days	NA	NA	NA	NA	NA	NA	NA
Big_Portage_Lake	1964	No	150	0	0	1_6_days	15_30_days	0_days	0_days	0_days	0_days	1_6_days	Male	78	2	0	GradProf	110	700000
Big_Portage_Lake	1975	Yes	8	8	8	1_6_days	30_60_days	7_14_days	1_6_days	NA	1_6_days	60+_days	Male	58	2	0	GradProf	70	275000
Big_Portage_Lake	1978	No	45	2	0	0_days	15_30_days	0_days	7_14_days	7_14_days	0_days	15_30_days	Male	77	2	0	College	50	200000
Big_Portage_Lake	1986	Yes	8	8	8	15_30_days	30_60_days	7_14_days	1_6_days	0_days	0_days	15_30_days	Male	64	2	0	someColl	130	700000
Big_Portage_Lake	1970	No	40	30	0	NA	NA	NA	30_60_days	15_30_days	NA	30_60_days	Male	84	2	0	GradProf	50	700000
Big_Portage_Lake	1981	No	90	0	0	15_30_days	60+_days	1_6_days	0_days	1_6_days	0_days	15_30_days	Male	59	2	0	HS	50	350000
Big_Portage_Lake	1996	No	100	0	0	7_14_days	7_14_days	1_6_days	15_30_days	1_6_days	0_days	15_30_days	Male	53	3	1	GradProf	130	400000
Big_Portage_Lake	1941	No	60	0	0	60+_days	30_60_days	7_14_days	7_14_days	0_days	0_days	30_60_days	Male	68	3	0	GradProf	NA	400000
Big_Portage_Lake	1956	No	75	20	0	15_30_days	1_6_days	0_days	0_days	0_days	0_days	30_60_days	Female	80	2	0	HS	80	350000
Big_Portage_Lake	1999	No	17	2	0	1_6_days	7_14_days	7_14_days	0_days	0_days	0_days	7_14_days	Male	51	4	2	GradProf	NA	1000000
Big_Portage_Lake	1990	No	90	90	0	0_days	60+_days	60+_days	0_days	15_30_days	30_60_days	60+_days	Male	85	6	0	someColl	60	350000
Big_Saint_Germain_Lake	1990	No	75	0	0	60+_days	60+_days	1_6_days	15_30_days	0_days	0_days	60+_days	Male	50	7	0	someColl	90	400000
Big_Saint_Germain_Lake	1985	Yes	8	8	8	7_14_days	15_30_days	7_14_days	0_days	0_days	1_6_days	15_30_days	Male	50	5	1	someColl	50	200000
Big_Saint_Germain_Lake	1991	Yes	8	8	8	1_6_days	1_6_days	0_days	0_days	0_days	0_days	0_days	Male	81	4	0	someColl	30	295000
Big_Saint_Germain_Lake	1977	Yes	8	8	8	1_6_days	0_days	0_days	0_days	0_days	1_6_days	0_days	Male	78	2	0	someColl	10	425000
Big_Saint_Germain_Lake	2001	No	45	3	0	1_6_days	1_6_days	1_6_days	1_6_days	0_days	1_6_days	1_6_days	Male	53	2	0	GradProf	30	350000
Big_Saint_Germain_Lake	2002	No	60	0	0	7_14_days	0_days	0_days	0_days	0_days	0_days	0_days	Male	70	2	0	HS	50	600000
Big_Saint_Germain_Lake	1964	No	50	0	0	30_60_days	0_days	0_days	30_60_days	0_days	0_days	7_14_days	Male	72	2	0	HS	NA	NA
Big_Saint_Germain_Lake	1906	No	90	0	0	NA	60+_days	15_30_days	15_30_days	0_days	0_days	60+_days	Male	77	9	7	GradProf	70	600000
Big_Saint_Germain_Lake	1995	No	23	0	0	7_14_days	15_30_days	15_30_days	15_30_days	0_days	0_days	7_14_days	NA	NA	NA	NA	NA	NA	NA
Big_Saint_Germain_Lake	NA	Yes	8	8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Big_Saint_Germain_Lake	1967	No	30	0	0	15_30_days	15_30_days	7_14_days	15_30_days	1_6_days	0_days	7_14_days	Male	68	2	0	GradProf	40	500000
Big_Saint_Germain_Lake	1986	No	40	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Big_Saint_Germain_Lake	1998	No	16	5	0	7_14_days	7_14_days	1_6_days	1_6_days	0_days	0_days	15_30_days	Male	39	3	1	College	20	200000
Big_Saint_Germain_Lake	2002	No	20	10	0	1_6_days	7_14_days	1_6_days	1_6_days	1_6_days	1_6_days	1_6_days	Male	43	3	1	College	40	525000
Big_Saint_Germain_Lake	1999	No	40	40	0	30_60_days	30_60_days	30_60_days	0_days	0_days	30_60_days	30_60_days	Female	43	7	5	someColl	130	225000
Big_Saint_Germain_Lake	1992	No	14	0	84	15_30_days	1_6_days	1_6_days	0_days	0_days	0_days	0_days	NA	NA	NA	NA	NA	NA	NA
Big_Saint_Germain_Lake	1976	No	80	10	0	30_60_days	60+_days	7_14_days	0_days	0_days	0_days	60+_days	Male	66	13	13	someColl	70	450000
